D11,PHYLINK,SCU74[25]=1,GPIOA4,,
C11,PHYPD#,SCU74[25]=1,GPIOA5,,
B11,INTA#,SCU78[4]=0,GPIOB0,,
A11,FLBUSY#,SCU74[2]=1,GPIOB1,,
D10,FLWP#,SCU74[2]=1,GPIOB2,,
B10,VBCS,Strap[5]=1,LRST#,Strap[23]=1,GPIOB4
A10,VBCK,Strap[5]=1,GPIOB5,,
D9,VBDO,Strap[5]=1,WDTRST,SCU78[3]=1,GPIOB6
C9,VBDI,Strap[5]=1,GPIOB7,,
B9,PECII,SCU74[7]=1,GPIOC0,,
A9,PECIO,SCU74[7]=1,GPIOC1,,
D8,PWM1,SCU74[8]=1,GPIOC2,,
C8,PWM2,SCU74[9]=1,GPIOC3,,
B8,PWM3,SCU74[10]=1,GPIOC4,,
A8,PWM4,SCU74[11]=1,GPIOC5,,
U2,HSYNC,SCU74[15]=1,VPAHSYNC,SCU74[16]=1,GPIOH4
R4,VSYNC,SCU74[15]=1,VPAVSYNC,SCU74[16]=1,GPIOH5
U1,VPADE,SCU74[16]=1,GPIOH6,,
T1,VPACLK,SCU74[16]=1,GPIOH7,,
B2,DDCADAT,SCU74[18]=1,GPIOD6,,
B1,OSCCLK,SCU2C[1]=1,DDCACLK,SCU74[18]=1,GPIOD7
A13,MII2DIO,SCU74[20]=1,SDA5,SCU74[12]=1,GPIOC6
B13,MII2DC,SCU74[20]=1,SCL5,SCU74[12]=1,GPIOC7
C12,SDA6,SCU74[13]=1,GPIOH0,,
D12,SCL6,SCU74[13]=1,GPIOH1,,
A12,SDA7,SCU74[14]=1,GPIOH2,,
B12,SCL7,SCU74[14]=1,GPIOH3,,
R3,VP0,SCU74[22]=1,GPIOE0,,
R2,VP1,SCU74[22]=1,GPIOE1,,
R1,VP2,SCU74[22]=1,GPIOE2,,
T4,VP3,SCU74[22]=1,GPIOE3,,
T3,VP4,SCU74[22]=1,GPIOE4,,
T2,VP5,SCU74[22]=1,GPIOE5,,
U4,VP6,SCU74[22]=1,GPIOE6,,
U3,VP7,SCU74[22]=1,GPIOE7,,
V4,VP8,SCU74[22]=1,GPIOF0,,
V3,VP9,SCU74[22]=1,GPIOF1,,
V2,VP10,SCU74[22]=1,GPIOF2,,
V1,VP11,SCU74[22]=1,GPIOF3,,
W4,VP12,SCU74[23]=1,GPIOF4,,
W3,VP13,SCU74[23]=1,GPIOF5,,
W2,VP14,SCU74[23]=1,GPIOF6,,
W1,VP15,SCU74[23]=1,GPIOF7,,
Y4,VP16,SCU74[23]=1,GPIOG0,,
Y3,VP17,SCU74[23]=1,GPIOG1,,
